mois,ratio_croissance,ma7_croissance,ecart_croissance_pct,ratio_inflation,ma7_inflation,ecart_inflation_pct,quadrant_id,quadrant
2015-03,1.0047,0.4213,138.45,1.1902,1.7859,-33.36,boom_deflationniste,Croissance déflationniste
2015-04,0.9076,0.4282,111.97,1.2304,1.7813,-30.93,boom_deflationniste,Croissance déflationniste
2015-05,0.8338,0.4345,91.89,1.2672,1.7764,-28.66,boom_deflationniste,Croissance déflationniste
2015-06,0.8049,0.441,82.51,1.3002,1.7716,-26.61,boom_deflationniste,Croissance déflationniste
2015-07,0.9537,0.4494,112.24,1.162,1.7653,-34.18,boom_deflationniste,Croissance déflationniste
2015-08,1.0553,0.4585,130.14,1.2134,1.762,-31.13,boom_deflationniste,Croissance déflationniste
2015-09,0.9605,0.4667,105.83,1.1686,1.7577,-33.51,boom_deflationniste,Croissance déflationniste
2015-10,1.0175,0.4751,114.18,1.2002,1.7564,-31.67,boom_deflationniste,Croissance déflationniste
2015-11,1.1023,0.4837,127.87,1.129,1.7545,-35.65,boom_deflationniste,Croissance déflationniste
2015-12,1.2312,0.4917,150.39,1.1273,1.7534,-35.71,boom_deflationniste,Croissance déflationniste
2016-01,1.3687,0.5022,172.53,1.1255,1.7492,-35.65,boom_deflationniste,Croissance déflationniste
2016-02,1.4123,0.5134,175.06,1.2112,1.7454,-30.61,boom_deflationniste,Croissance déflationniste
2016-03,1.2247,0.523,134.14,1.202,1.7427,-31.02,boom_deflationniste,Croissance déflationniste
2016-04,1.1436,0.5312,115.27,1.2728,1.7402,-26.86,boom_deflationniste,Croissance déflationniste
2016-05,1.001,0.5381,86.02,1.1851,1.734,-31.66,boom_deflationniste,Croissance déflationniste
2016-06,0.9585,0.5453,75.76,1.2077,1.7294,-30.17,boom_deflationniste,Croissance déflationniste
2016-07,1.0862,0.5532,96.32,1.2063,1.7243,-30.04,boom_deflationniste,Croissance déflationniste
2016-08,1.0882,0.5616,93.78,1.179,1.7194,-31.43,boom_deflationniste,Croissance déflationniste
2016-09,1.0872,0.5695,90.9,1.2053,1.7142,-29.69,boom_deflationniste,Croissance déflationniste
2016-10,0.9679,0.5766,67.86,1.2234,1.7079,-28.37,boom_deflationniste,Croissance déflationniste
2016-11,1.0661,0.5847,82.33,1.2215,1.6991,-28.11,boom_deflationniste,Croissance déflationniste
2016-12,0.9551,0.5912,61.54,1.2036,1.6904,-28.8,boom_deflationniste,Croissance déflationniste
2017-01,0.9729,0.5984,62.58,1.2586,1.6832,-25.23,boom_deflationniste,Croissance déflationniste
2017-02,0.9793,0.6055,61.73,1.2784,1.6755,-23.7,boom_deflationniste,Croissance déflationniste
2017-03,1.0758,0.6137,75.28,1.2813,1.6674,-23.16,boom_deflationniste,Croissance déflationniste
2017-04,1.0561,0.6219,69.81,1.2833,1.6588,-22.64,boom_deflationniste,Croissance déflationniste
2017-05,1.1368,0.6309,80.2,1.2579,1.6503,-23.78,boom_deflationniste,Croissance déflationniste
2017-06,1.2296,0.6412,91.76,1.2211,1.6421,-25.64,boom_deflationniste,Croissance déflationniste
2017-07,1.2239,0.6511,87.96,1.2576,1.6354,-23.1,boom_deflationniste,Croissance déflationniste
2017-08,1.1928,0.6609,80.47,1.2673,1.6292,-22.22,boom_deflationniste,Croissance déflationniste
2017-09,1.1718,0.6699,74.92,1.2537,1.6214,-22.68,boom_deflationniste,Croissance déflationniste
2017-10,1.1561,0.6789,70.28,1.2447,1.6115,-22.76,boom_deflationniste,Croissance déflationniste
2017-11,1.0741,0.6872,56.29,1.24,1.6005,-22.53,boom_deflationniste,Croissance déflationniste
2017-12,1.0664,0.6954,53.36,1.2436,1.588,-21.69,boom_deflationniste,Croissance déflationniste
2018-01,1.0242,0.7029,45.7,1.327,1.5774,-15.87,boom_deflationniste,Croissance déflationniste
2018-02,1.0015,0.7101,41.04,1.3402,1.5659,-14.41,boom_deflationniste,Croissance déflationniste
2018-03,0.9786,0.7176,36.37,1.3112,1.5535,-15.6,boom_deflationniste,Croissance déflationniste
2018-04,0.9304,0.7246,28.39,1.3264,1.5396,-13.85,boom_deflationniste,Croissance déflationniste
2018-05,0.8849,0.7309,21.08,1.2848,1.5266,-15.84,boom_deflationniste,Croissance déflationniste
2018-06,0.9072,0.7373,23.04,1.2304,1.513,-18.68,boom_deflationniste,Croissance déflationniste
2018-07,0.894,0.7436,20.22,1.2203,1.4982,-18.55,boom_deflationniste,Croissance déflationniste
2018-08,0.9388,0.7504,25.12,1.1787,1.4823,-20.48,boom_deflationniste,Croissance déflationniste
2018-09,0.9154,0.7572,20.89,1.2055,1.473,-18.17,boom_deflationniste,Croissance déflationniste
2018-10,0.8411,0.7628,10.27,1.2682,1.4622,-13.27,boom_deflationniste,Croissance déflationniste
2018-11,1.0613,0.7715,37.56,1.2501,1.4512,-13.86,boom_deflationniste,Croissance déflationniste
2018-12,1.132,0.7812,44.91,1.2394,1.4436,-14.15,boom_deflationniste,Croissance déflationniste
2019-01,1.1787,0.7913,48.97,1.2704,1.4338,-11.4,boom_deflationniste,Croissance déflationniste
2019-02,1.1293,0.8006,41.06,1.2802,1.4241,-10.1,boom_deflationniste,Croissance déflationniste
2019-03,1.084,0.8096,33.9,1.1933,1.4127,-15.53,boom_deflationniste,Croissance déflationniste
2019-04,1.0209,0.8177,24.85,1.2094,1.4027,-13.78,boom_deflationniste,Croissance déflationniste
2019-05,1.0067,0.8257,21.92,1.1519,1.3954,-17.45,boom_deflationniste,Croissance déflationniste
